game,commence_time,bookmaker,team,decimal_odds,implied_prob,market,avg_decimal,rank,role,league
Chicago Bears vs Minnesota Vikings,2025-09-09 00:15:00+00:00,BetOnline.ag,Chicago Bears 2.0,1.85,0.5405405405405405,spreads,1.865,1.0,favorite,americanfootball_nfl
Chicago Bears vs Minnesota Vikings,2025-09-09 00:15:00+00:00,LowVig.ag,Minnesota Vikings,1.83,0.5464480874316939,h2h,1.8141666666666667,1.0,favorite,americanfootball_nfl
Chicago Bears vs Minnesota Vikings,2025-09-09 00:15:00+00:00,BetOnline.ag,Minnesota Vikings,1.83,0.5464480874316939,h2h,1.8141666666666667,1.0,favorite,americanfootball_nfl
Chicago Bears vs Minnesota Vikings,2025-09-09 00:15:00+00:00,DraftKings,Minnesota Vikings,1.8,0.5555555555555556,h2h,1.8141666666666667,1.0,favorite,americanfootball_nfl
Chicago Bears vs Minnesota Vikings,2025-09-09 00:15:00+00:00,ESPN BET,Minnesota Vikings,1.77,0.5649717514124294,h2h,1.8141666666666667,1.0,favorite,americanfootball_nfl
Chicago Bears vs Minnesota Vikings,2025-09-09 00:15:00+00:00,MyBookie.ag,Minnesota Vikings,1.82,0.5494505494505494,h2h,1.8141666666666667,1.0,favorite,americanfootball_nfl
Chicago Bears vs Minnesota Vikings,2025-09-09 00:15:00+00:00,Bally Bet,Minnesota Vikings,1.83,0.5464480874316939,h2h,1.8141666666666667,1.0,favorite,americanfootball_nfl
Chicago Bears vs Minnesota Vikings,2025-09-09 00:15:00+00:00,betPARX,Minnesota Vikings,1.83,0.5464480874316939,h2h,1.8141666666666667,1.0,favorite,americanfootball_nfl
Chicago Bears vs Minnesota Vikings,2025-09-09 00:15:00+00:00,BetRivers,Minnesota Vikings,1.83,0.5464480874316939,h2h,1.8141666666666667,1.0,favorite,americanfootball_nfl
Chicago Bears vs Minnesota Vikings,2025-09-09 00:15:00+00:00,BetMGM,Minnesota Vikings,1.83,0.5464480874316939,h2h,1.8141666666666667,1.0,favorite,americanfootball_nfl
Chicago Bears vs Minnesota Vikings,2025-09-09 00:15:00+00:00,Hard Rock Bet,Minnesota Vikings,1.8,0.5555555555555556,h2h,1.8141666666666667,1.0,favorite,americanfootball_nfl
Chicago Bears vs Minnesota Vikings,2025-09-09 00:15:00+00:00,BetUS,Minnesota Vikings,1.8,0.5555555555555556,h2h,1.8141666666666667,1.0,favorite,americanfootball_nfl
Chicago Bears vs Minnesota Vikings,2025-09-09 00:15:00+00:00,Bovada,Minnesota Vikings,1.8,0.5555555555555556,h2h,1.8141666666666667,1.0,favorite,americanfootball_nfl
Chicago Bears vs Minnesota Vikings,2025-09-09 00:15:00+00:00,DraftKings,Over 43.5,1.87,0.53475935828877,totals,1.87,1.0,favorite,americanfootball_nfl
Chicago Bears vs Minnesota Vikings,2025-09-09 00:15:00+00:00,ESPN BET,Over 43.5,1.87,0.53475935828877,totals,1.87,1.0,favorite,americanfootball_nfl
Cleveland Browns vs Cincinnati Bengals,2025-09-07 17:00:00+00:00,DraftKings,Cincinnati Bengals,1.42,0.7042253521126761,h2h,1.4169230769230767,1.0,favorite,americanfootball_nfl
Cleveland Browns vs Cincinnati Bengals,2025-09-07 17:00:00+00:00,LowVig.ag,Cincinnati Bengals,1.42,0.7042253521126761,h2h,1.4169230769230767,1.0,favorite,americanfootball_nfl
Cleveland Browns vs Cincinnati Bengals,2025-09-07 17:00:00+00:00,BetOnline.ag,Cincinnati Bengals,1.42,0.7042253521126761,h2h,1.4169230769230767,1.0,favorite,americanfootball_nfl
Cleveland Browns vs Cincinnati Bengals,2025-09-07 17:00:00+00:00,ESPN BET,Cincinnati Bengals,1.4,0.7142857142857143,h2h,1.4169230769230767,1.0,favorite,americanfootball_nfl
Cleveland Browns vs Cincinnati Bengals,2025-09-07 17:00:00+00:00,MyBookie.ag,Cincinnati Bengals,1.43,0.6993006993006994,h2h,1.4169230769230767,1.0,favorite,americanfootball_nfl
Cleveland Browns vs Cincinnati Bengals,2025-09-07 17:00:00+00:00,BetRivers,Cincinnati Bengals,1.43,0.6993006993006994,h2h,1.4169230769230767,1.0,favorite,americanfootball_nfl
Cleveland Browns vs Cincinnati Bengals,2025-09-07 17:00:00+00:00,betPARX,Cincinnati Bengals,1.43,0.6993006993006994,h2h,1.4169230769230767,1.0,favorite,americanfootball_nfl
Cleveland Browns vs Cincinnati Bengals,2025-09-07 17:00:00+00:00,Bally Bet,Cincinnati Bengals,1.43,0.6993006993006994,h2h,1.4169230769230767,1.0,favorite,americanfootball_nfl
Cleveland Browns vs Cincinnati Bengals,2025-09-07 17:00:00+00:00,Hard Rock Bet,Cincinnati Bengals,1.4,0.7142857142857143,h2h,1.4169230769230767,1.0,favorite,americanfootball_nfl
Cleveland Browns vs Cincinnati Bengals,2025-09-07 17:00:00+00:00,BetMGM,Cincinnati Bengals,1.4,0.7142857142857143,h2h,1.4169230769230767,1.0,favorite,americanfootball_nfl
Cleveland Browns vs Cincinnati Bengals,2025-09-07 17:00:00+00:00,BetUS,Cincinnati Bengals,1.42,0.7042253521126761,h2h,1.4169230769230767,1.0,favorite,americanfootball_nfl
Cleveland Browns vs Cincinnati Bengals,2025-09-07 17:00:00+00:00,Bovada,Cincinnati Bengals,1.41,0.7092198581560284,h2h,1.4169230769230767,1.0,favorite,americanfootball_nfl
Cleveland Browns vs Cincinnati Bengals,2025-09-07 17:00:00+00:00,Fliff,Cincinnati Bengals,1.41,0.7092198581560284,h2h,1.4169230769230767,1.0,favorite,americanfootball_nfl
Cleveland Browns vs Cincinnati Bengals,2025-09-07 17:00:00+00:00,DraftKings,Cleveland Browns 5.5,1.89,0.5291005291005292,spreads,1.8966666666666667,1.0,favorite,americanfootball_nfl
Cleveland Browns vs Cincinnati Bengals,2025-09-07 17:00:00+00:00,ESPN BET,Cleveland Browns 5.5,1.91,0.5235602094240838,spreads,1.8966666666666667,1.0,favorite,americanfootball_nfl
Cleveland Browns vs Cincinnati Bengals,2025-09-07 17:00:00+00:00,BetRivers,Cleveland Browns 5.5,1.89,0.5291005291005292,spreads,1.8966666666666667,1.0,favorite,americanfootball_nfl
Cleveland Browns vs Cincinnati Bengals,2025-09-07 17:00:00+00:00,betPARX,Cleveland Browns 5.5,1.89,0.5291005291005292,spreads,1.8966666666666667,1.0,favorite,americanfootball_nfl
Cleveland Browns vs Cincinnati Bengals,2025-09-07 17:00:00+00:00,Bally Bet,Cleveland Browns 5.5,1.89,0.5291005291005292,spreads,1.8966666666666667,1.0,favorite,americanfootball_nfl
Cleveland Browns vs Cincinnati Bengals,2025-09-07 17:00:00+00:00,BetMGM,Cleveland Browns 5.5,1.91,0.5235602094240838,spreads,1.8966666666666667,1.0,favorite,americanfootball_nfl
Cleveland Browns vs Cincinnati Bengals,2025-09-07 17:00:00+00:00,BetUS,Cleveland Browns 5.5,1.91,0.5235602094240838,spreads,1.8966666666666667,1.0,favorite,americanfootball_nfl
Cleveland Browns vs Cincinnati Bengals,2025-09-07 17:00:00+00:00,Bovada,Cleveland Browns 5.5,1.91,0.5235602094240838,spreads,1.8966666666666667,1.0,favorite,americanfootball_nfl
Cleveland Browns vs Cincinnati Bengals,2025-09-07 17:00:00+00:00,Fliff,Cleveland Browns 5.5,1.87,0.53475935828877,spreads,1.8966666666666667,1.0,favorite,americanfootball_nfl
Cleveland Browns vs Cincinnati Bengals,2025-09-07 17:00:00+00:00,DraftKings,Over 47.5,1.87,0.53475935828877,totals,1.9038461538461537,1.0,favorite,americanfootball_nfl
Cleveland Browns vs Cincinnati Bengals,2025-09-07 17:00:00+00:00,LowVig.ag,Over 47.5,1.93,0.5181347150259068,totals,1.9038461538461537,1.0,favorite,americanfootball_nfl
Cleveland Browns vs Cincinnati Bengals,2025-09-07 17:00:00+00:00,BetOnline.ag,Over 47.5,1.91,0.5235602094240838,totals,1.9038461538461537,1.0,favorite,americanfootball_nfl
Cleveland Browns vs Cincinnati Bengals,2025-09-07 17:00:00+00:00,ESPN BET,Over 47.5,1.91,0.5235602094240838,totals,1.9038461538461537,1.0,favorite,americanfootball_nfl
Cleveland Browns vs Cincinnati Bengals,2025-09-07 17:00:00+00:00,MyBookie.ag,Over 47.5,1.91,0.5235602094240838,totals,1.9038461538461537,1.0,favorite,americanfootball_nfl
Cleveland Browns vs Cincinnati Bengals,2025-09-07 17:00:00+00:00,BetRivers,Over 47.5,1.93,0.5181347150259068,totals,1.9038461538461537,1.0,favorite,americanfootball_nfl
Cleveland Browns vs Cincinnati Bengals,2025-09-07 17:00:00+00:00,betPARX,Over 47.5,1.93,0.5181347150259068,totals,1.9038461538461537,1.0,favorite,americanfootball_nfl
Cleveland Browns vs Cincinnati Bengals,2025-09-07 17:00:00+00:00,Bally Bet,Over 47.5,1.93,0.5181347150259068,totals,1.9038461538461537,1.0,favorite,americanfootball_nfl
Cleveland Browns vs Cincinnati Bengals,2025-09-07 17:00:00+00:00,Hard Rock Bet,Over 47.5,1.87,0.53475935828877,totals,1.9038461538461537,1.0,favorite,americanfootball_nfl
Cleveland Browns vs Cincinnati Bengals,2025-09-07 17:00:00+00:00,BetMGM,Over 47.5,1.91,0.5235602094240838,totals,1.9038461538461537,1.0,favorite,americanfootball_nfl
Cleveland Browns vs Cincinnati Bengals,2025-09-07 17:00:00+00:00,BetUS,Over 47.5,1.91,0.5235602094240838,totals,1.9038461538461537,1.0,favorite,americanfootball_nfl
Cleveland Browns vs Cincinnati Bengals,2025-09-07 17:00:00+00:00,Bovada,Over 47.5,1.91,0.5235602094240838,totals,1.9038461538461537,1.0,favorite,americanfootball_nfl
Cleveland Browns vs Cincinnati Bengals,2025-09-07 17:00:00+00:00,Fliff,Over 47.5,1.83,0.5464480874316939,totals,1.9038461538461537,1.0,favorite,americanfootball_nfl
Denver Broncos vs Tennessee Titans,2025-09-07 20:05:00+00:00,LowVig.ag,Denver Broncos,1.25,0.8,h2h,1.2461538461538462,1.0,favorite,americanfootball_nfl
Denver Broncos vs Tennessee Titans,2025-09-07 20:05:00+00:00,BetOnline.ag,Denver Broncos,1.25,0.8,h2h,1.2461538461538462,1.0,favorite,americanfootball_nfl
Denver Broncos vs Tennessee Titans,2025-09-07 20:05:00+00:00,DraftKings,Denver Broncos,1.26,0.7936507936507936,h2h,1.2461538461538462,1.0,favorite,americanfootball_nfl
Denver Broncos vs Tennessee Titans,2025-09-07 20:05:00+00:00,MyBookie.ag,Denver Broncos,1.24,0.8064516129032259,h2h,1.2461538461538462,1.0,favorite,americanfootball_nfl
Denver Broncos vs Tennessee Titans,2025-09-07 20:05:00+00:00,ESPN BET,Denver Broncos,1.25,0.8,h2h,1.2461538461538462,1.0,favorite,americanfootball_nfl
Denver Broncos vs Tennessee Titans,2025-09-07 20:05:00+00:00,betPARX,Denver Broncos,1.24,0.8064516129032259,h2h,1.2461538461538462,1.0,favorite,americanfootball_nfl
Denver Broncos vs Tennessee Titans,2025-09-07 20:05:00+00:00,Bally Bet,Denver Broncos,1.24,0.8064516129032259,h2h,1.2461538461538462,1.0,favorite,americanfootball_nfl
Denver Broncos vs Tennessee Titans,2025-09-07 20:05:00+00:00,BetMGM,Denver Broncos,1.25,0.8,h2h,1.2461538461538462,1.0,favorite,americanfootball_nfl
Denver Broncos vs Tennessee Titans,2025-09-07 20:05:00+00:00,Hard Rock Bet,Denver Broncos,1.25,0.8,h2h,1.2461538461538462,1.0,favorite,americanfootball_nfl
Denver Broncos vs Tennessee Titans,2025-09-07 20:05:00+00:00,BetUS,Denver Broncos,1.25,0.8,h2h,1.2461538461538462,1.0,favorite,americanfootball_nfl
Denver Broncos vs Tennessee Titans,2025-09-07 20:05:00+00:00,BetRivers,Denver Broncos,1.24,0.8064516129032259,h2h,1.2461538461538462,1.0,favorite,americanfootball_nfl
Denver Broncos vs Tennessee Titans,2025-09-07 20:05:00+00:00,Bovada,Denver Broncos,1.24,0.8064516129032259,h2h,1.2461538461538462,1.0,favorite,americanfootball_nfl
Denver Broncos vs Tennessee Titans,2025-09-07 20:05:00+00:00,Fliff,Denver Broncos,1.24,0.8064516129032259,h2h,1.2461538461538462,1.0,favorite,americanfootball_nfl
Denver Broncos vs Tennessee Titans,2025-09-07 20:05:00+00:00,LowVig.ag,Over 42.5,1.88,0.5319148936170213,totals,1.8938461538461537,1.0,favorite,americanfootball_nfl
Denver Broncos vs Tennessee Titans,2025-09-07 20:05:00+00:00,BetOnline.ag,Over 42.5,1.87,0.53475935828877,totals,1.8938461538461537,1.0,favorite,americanfootball_nfl
Denver Broncos vs Tennessee Titans,2025-09-07 20:05:00+00:00,DraftKings,Over 42.5,1.91,0.5235602094240838,totals,1.8938461538461537,1.0,favorite,americanfootball_nfl
Denver Broncos vs Tennessee Titans,2025-09-07 20:05:00+00:00,MyBookie.ag,Over 42.5,1.91,0.5235602094240838,totals,1.8938461538461537,1.0,favorite,americanfootball_nfl
Denver Broncos vs Tennessee Titans,2025-09-07 20:05:00+00:00,ESPN BET,Over 42.5,1.91,0.5235602094240838,totals,1.8938461538461537,1.0,favorite,americanfootball_nfl
Denver Broncos vs Tennessee Titans,2025-09-07 20:05:00+00:00,betPARX,Over 42.5,1.89,0.5291005291005292,totals,1.8938461538461537,1.0,favorite,americanfootball_nfl
Denver Broncos vs Tennessee Titans,2025-09-07 20:05:00+00:00,Bally Bet,Over 42.5,1.89,0.5291005291005292,totals,1.8938461538461537,1.0,favorite,americanfootball_nfl
Denver Broncos vs Tennessee Titans,2025-09-07 20:05:00+00:00,BetMGM,Over 42.5,1.91,0.5235602094240838,totals,1.8938461538461537,1.0,favorite,americanfootball_nfl
Denver Broncos vs Tennessee Titans,2025-09-07 20:05:00+00:00,Hard Rock Bet,Over 42.5,1.91,0.5235602094240838,totals,1.8938461538461537,1.0,favorite,americanfootball_nfl
Denver Broncos vs Tennessee Titans,2025-09-07 20:05:00+00:00,BetUS,Over 42.5,1.91,0.5235602094240838,totals,1.8938461538461537,1.0,favorite,americanfootball_nfl
Denver Broncos vs Tennessee Titans,2025-09-07 20:05:00+00:00,BetRivers,Over 42.5,1.89,0.5291005291005292,totals,1.8938461538461537,1.0,favorite,americanfootball_nfl
Denver Broncos vs Tennessee Titans,2025-09-07 20:05:00+00:00,Bovada,Over 42.5,1.91,0.5235602094240838,totals,1.8938461538461537,1.0,favorite,americanfootball_nfl
Denver Broncos vs Tennessee Titans,2025-09-07 20:05:00+00:00,Fliff,Over 42.5,1.83,0.5464480874316939,totals,1.8938461538461537,1.0,favorite,americanfootball_nfl
Denver Broncos vs Tennessee Titans,2025-09-07 20:05:00+00:00,BetOnline.ag,Tennessee Titans 9.0,1.81,0.5524861878453039,spreads,1.84,1.0,favorite,americanfootball_nfl
Denver Broncos vs Tennessee Titans,2025-09-07 20:05:00+00:00,BetUS,Tennessee Titans 9.0,1.87,0.53475935828877,spreads,1.84,1.0,favorite,americanfootball_nfl
Green Bay Packers vs Detroit Lions,2025-09-07 20:25:00+00:00,LowVig.ag,Green Bay Packers,1.72,0.5813953488372093,h2h,1.6999999999999997,1.0,favorite,americanfootball_nfl
Green Bay Packers vs Detroit Lions,2025-09-07 20:25:00+00:00,BetOnline.ag,Green Bay Packers,1.72,0.5813953488372093,h2h,1.6999999999999997,1.0,favorite,americanfootball_nfl
Green Bay Packers vs Detroit Lions,2025-09-07 20:25:00+00:00,DraftKings,Green Bay Packers,1.68,0.5952380952380952,h2h,1.6999999999999997,1.0,favorite,americanfootball_nfl
Green Bay Packers vs Detroit Lions,2025-09-07 20:25:00+00:00,ESPN BET,Green Bay Packers,1.71,0.5847953216374269,h2h,1.6999999999999997,1.0,favorite,americanfootball_nfl
Green Bay Packers vs Detroit Lions,2025-09-07 20:25:00+00:00,Bally Bet,Green Bay Packers,1.7,0.5882352941176471,h2h,1.6999999999999997,1.0,favorite,americanfootball_nfl
Green Bay Packers vs Detroit Lions,2025-09-07 20:25:00+00:00,betPARX,Green Bay Packers,1.7,0.5882352941176471,h2h,1.6999999999999997,1.0,favorite,americanfootball_nfl
Green Bay Packers vs Detroit Lions,2025-09-07 20:25:00+00:00,BetRivers,Green Bay Packers,1.7,0.5882352941176471,h2h,1.6999999999999997,1.0,favorite,americanfootball_nfl
Green Bay Packers vs Detroit Lions,2025-09-07 20:25:00+00:00,BetMGM,Green Bay Packers,1.71,0.5847953216374269,h2h,1.6999999999999997,1.0,favorite,americanfootball_nfl
Green Bay Packers vs Detroit Lions,2025-09-07 20:25:00+00:00,MyBookie.ag,Green Bay Packers,1.7,0.5882352941176471,h2h,1.6999999999999997,1.0,favorite,americanfootball_nfl
Green Bay Packers vs Detroit Lions,2025-09-07 20:25:00+00:00,Hard Rock Bet,Green Bay Packers,1.69,0.591715976331361,h2h,1.6999999999999997,1.0,favorite,americanfootball_nfl
Green Bay Packers vs Detroit Lions,2025-09-07 20:25:00+00:00,BetUS,Green Bay Packers,1.71,0.5847953216374269,h2h,1.6999999999999997,1.0,favorite,americanfootball_nfl
Green Bay Packers vs Detroit Lions,2025-09-07 20:25:00+00:00,Bovada,Green Bay Packers,1.71,0.5847953216374269,h2h,1.6999999999999997,1.0,favorite,americanfootball_nfl
Green Bay Packers vs Detroit Lions,2025-09-07 20:25:00+00:00,Fliff,Green Bay Packers,1.65,0.6060606060606061,h2h,1.6999999999999997,1.0,favorite,americanfootball_nfl
Green Bay Packers vs Detroit Lions,2025-09-07 20:25:00+00:00,BetUS,Green Bay Packers -2.0,1.87,0.53475935828877,spreads,1.87,1.0,favorite,americanfootball_nfl
Green Bay Packers vs Detroit Lions,2025-09-07 20:25:00+00:00,DraftKings,Over 46.5,1.85,0.5405405405405405,totals,1.85,1.0,favorite,americanfootball_nfl
Indianapolis Colts vs Miami Dolphins,2025-09-07 17:00:00+00:00,DraftKings,Indianapolis Colts,1.89,0.5291005291005292,h2h,1.8989999999999998,1.0,favorite,americanfootball_nfl
Indianapolis Colts vs Miami Dolphins,2025-09-07 17:00:00+00:00,MyBookie.ag,Indianapolis Colts,1.88,0.5319148936170213,h2h,1.8989999999999998,1.0,favorite,americanfootball_nfl
Indianapolis Colts vs Miami Dolphins,2025-09-07 17:00:00+00:00,ESPN BET,Indianapolis Colts,1.95,0.5128205128205129,h2h,1.8989999999999998,1.0,favorite,americanfootball_nfl
Indianapolis Colts vs Miami Dolphins,2025-09-07 17:00:00+00:00,BetRivers,Indianapolis Colts,1.89,0.5291005291005292,h2h,1.8989999999999998,1.0,favorite,americanfootball_nfl
Indianapolis Colts vs Miami Dolphins,2025-09-07 17:00:00+00:00,betPARX,Indianapolis Colts,1.89,0.5291005291005292,h2h,1.8989999999999998,1.0,favorite,americanfootball_nfl
Indianapolis Colts vs Miami Dolphins,2025-09-07 17:00:00+00:00,Bally Bet,Indianapolis Colts,1.89,0.5291005291005292,h2h,1.8989999999999998,1.0,favorite,americanfootball_nfl
Indianapolis Colts vs Miami Dolphins,2025-09-07 17:00:00+00:00,Hard Rock Bet,Indianapolis Colts,1.91,0.5235602094240838,h2h,1.8989999999999998,1.0,favorite,americanfootball_nfl
Indianapolis Colts vs Miami Dolphins,2025-09-07 17:00:00+00:00,BetMGM,Indianapolis Colts,1.91,0.5235602094240838,h2h,1.8989999999999998,1.0,favorite,americanfootball_nfl
Indianapolis Colts vs Miami Dolphins,2025-09-07 17:00:00+00:00,Bovada,Indianapolis Colts,1.95,0.5128205128205129,h2h,1.8989999999999998,1.0,favorite,americanfootball_nfl
Indianapolis Colts vs Miami Dolphins,2025-09-07 17:00:00+00:00,Fliff,Indianapolis Colts,1.83,0.5464480874316939,h2h,1.8989999999999998,1.0,favorite,americanfootball_nfl
